,Unnamed: 7,Unnamed: 1
7,Schleswig-Holstein,Schleswig-Holstein
8,Flensburg,Schleswig-Holstein
9,Flensburg,Schleswig-Holstein
10,Kiel,Schleswig-Holstein
11,Kiel,Schleswig-Holstein
12,Lübeck,Schleswig-Holstein
13,Lübeck,Schleswig-Holstein
14,Neumünster,Schleswig-Holstein
15,Neumünster,Schleswig-Holstein
16,Dithmarschen,Schleswig-Holstein
17,Brunsbüttel,Schleswig-Holstein
18,Heide,Schleswig-Holstein
19,Amt Burg-St. Michaelisdonn,Schleswig-Holstein
20,Averlak,Schleswig-Holstein
21,Brickeln,Schleswig-Holstein
22,Buchholz,Schleswig-Holstein
23,Burg (Dithmarschen),Schleswig-Holstein
24,Dingen,Schleswig-Holstein
25,Eddelak,Schleswig-Holstein
26,Eggstedt,Schleswig-Holstein
27,Frestedt,Schleswig-Holstein
28,Großenrade,Schleswig-Holstein
29,Hochdonn,Schleswig-Holstein
30,Kuden,Schleswig-Holstein
31,Quickborn,Schleswig-Holstein
32,Sankt Michaelisdonn,Schleswig-Holstein
33,Süderhastedt,Schleswig-Holstein
34,Amt Marne-Nordsee,Schleswig-Holstein
35,Diekhusen-Fahrstedt,Schleswig-Holstein
36,Friedrichskoog,Schleswig-Holstein
37,Helse,Schleswig-Holstein
38,Kaiser-Wilhelm-Koog,Schleswig-Holstein
39,Kronprinzenkoog,Schleswig-Holstein
40,Marne,Schleswig-Holstein
41,Marnerdeich,Schleswig-Holstein
42,Neufeld,Schleswig-Holstein
43,Neufelderkoog,Schleswig-Holstein
44,Ramhusen,Schleswig-Holstein
45,Schmedeswurth,Schleswig-Holstein
46,Trennewurth,Schleswig-Holstein
47,Volsemenhusen,Schleswig-Holstein
48,Amt Kirchspielslandgemeinden Eider,Schleswig-Holstein
49,Barkenholm,Schleswig-Holstein
50,Bergewöhrden,Schleswig-Holstein
51,Dellstedt,Schleswig-Holstein
52,Delve,Schleswig-Holstein
53,Dörpling,Schleswig-Holstein
54,Fedderingen,Schleswig-Holstein
55,Gaushorn,Schleswig-Holstein
56,Glüsing,Schleswig-Holstein
57,Groven,Schleswig-Holstein
58,Hemme,Schleswig-Holstein
59,Hennstedt,Schleswig-Holstein
60,Hövede,Schleswig-Holstein
61,Hollingstedt,Schleswig-Holstein
62,Karolinenkoog,Schleswig-Holstein
63,Kleve,Schleswig-Holstein
64,Krempel,Schleswig-Holstein
65,Lehe,Schleswig-Holstein
66,Linden,Schleswig-Holstein
67,Lunden,Schleswig-Holstein
68,Norderheistedt,Schleswig-Holstein
69,Pahlen,Schleswig-Holstein
70,Rehm-Flehde-Bargen,Schleswig-Holstein
71,Sankt Annen,Schleswig-Holstein
72,Schalkholz,Schleswig-Holstein
73,Schlichting,Schleswig-Holstein
74,Tellingstedt,Schleswig-Holstein
75,Tielenhemme,Schleswig-Holstein
76,Wallen,Schleswig-Holstein
77,Welmbüttel,Schleswig-Holstein
78,Westerborstel,Schleswig-Holstein
79,Wiemerstedt,Schleswig-Holstein
80,Wrohm,Schleswig-Holstein
81,Süderdorf,Schleswig-Holstein
82,Süderheistedt,Schleswig-Holstein
83,Amt Kirchspielslandgemeinde Heider Umland,Schleswig-Holstein
84,Hemmingstedt,Schleswig-Holstein
85,Lieth,Schleswig-Holstein
86,Lohe-Rickelshof,Schleswig-Holstein
87,Neuenkirchen,Schleswig-Holstein
88,Norderwöhrden,Schleswig-Holstein
89,Nordhastedt,Schleswig-Holstein
90,Ostrohe,Schleswig-Holstein
91,Stelle-Wittenwurth,Schleswig-Holstein
92,Wöhrden,Schleswig-Holstein
93,Weddingstedt,Schleswig-Holstein
94,Wesseln,Schleswig-Holstein
95,Amt Mitteldithmarschen,Schleswig-Holstein
96,Albersdorf,Schleswig-Holstein
97,Arkebek,Schleswig-Holstein
98,Bargenstedt,Schleswig-Holstein
99,Barlt,Schleswig-Holstein
100,Bunsoh,Schleswig-Holstein
101,Busenwurth,Schleswig-Holstein
102,Elpersbüttel,Schleswig-Holstein
103,Epenwöhrden,Schleswig-Holstein
104,Gudendorf,Schleswig-Holstein
105,Immenstedt,Schleswig-Holstein
106,Krumstedt,Schleswig-Holstein
107,Meldorf,Schleswig-Holstein
108,Nindorf,Schleswig-Holstein
109,Odderade,Schleswig-Holstein
110,Offenbüttel,Schleswig-Holstein
111,Osterrade,Schleswig-Holstein
112,Sarzbüttel,Schleswig-Holstein
113,Schafstedt,Schleswig-Holstein
114,Schrum,Schleswig-Holstein
115,Wennbüttel,Schleswig-Holstein
116,Windbergen,Schleswig-Holstein
117,Wolmersdorf,Schleswig-Holstein
118,Nordermeldorf,Schleswig-Holstein
119,Tensbüttel-Röst,Schleswig-Holstein
120,Amt Büsum-Wesselburen,Schleswig-Holstein
121,Büsum,Schleswig-Holstein
122,Büsumer Deichhausen,Schleswig-Holstein
123,Friedrichsgabekoog,Schleswig-Holstein
124,Hedwigenkoog,Schleswig-Holstein
125,Hellschen-Heringsand-Unterschaar,Schleswig-Holstein
126,Hillgroven,Schleswig-Holstein
127,Norddeich,Schleswig-Holstein
128,Oesterdeichstrich,Schleswig-Holstein
129,Reinsbüttel,Schleswig-Holstein
130,Schülp,Schleswig-Holstein
131,Strübbel,Schleswig-Holstein
132,Süderdeich,Schleswig-Holstein
133,Warwerort,Schleswig-Holstein
134,Wesselburen,Schleswig-Holstein
135,Wesselburener Deichhausen,Schleswig-Holstein
136,Wesselburenerkoog,Schleswig-Holstein
137,Westerdeichstrich,Schleswig-Holstein
